name,format,overs,runs_conceded,wickets,matches
Venkatesh Iyer,IPL,11,107,1,120
Karun Nair,IPL,0,0,0,81
Kartik Sharma,IPL,0,0,0,103
Tristan Stubbs,IPL,0,0,0,96
Salil Arora,IPL,0,0,0,120
Axar Patel,IPL,404,3547,99,113
Sunil Narine,IPL,378,3263,81,109
Rashid Khan,IPL,368,3389,140,102
Sai Kishore,IPL,89,876,16,32
Mohammed Shami,IPL,434,3926,159,120
Abhishek Sharma,IPL,122,1231,30,266
Pathum Nissanka,IPL,0,0,0,138
Urvil Patel,IPL,0,0,0,158
Cameron Green,IPL,119,1298,22,68
Lalit Yadav,IPL,316,3374,54,292
Rinku Singh,IPL,0,0,0,98
Krunal Pandya,IPL,313,3172,65,136
Bjorn Fortuin,IPL,5,60,0,2
Kagiso Rabada,IPL,413,4209,109,125
Mohammed Siraj,IPL,856,8163,254,249
Ishant Sharma,IPL,152,1502,39,58
Jordan Cox,IPL,0,0,0,76
Smaran Ravichandra,IPL,0,0,0,98
Brian Bennett,IPL,40,425,12,42
Dhruv Jurel,IPL,0,0,0,82
Sarfaraz Khan,IPL,0,0,0,98
Kranthi Kumar,IPL,445,3821,131,125
Kangabam Priyojit Singh,IPL,17,229,1,144
Shardul Thakur,IPL,46,539,9,15
Anrich Nortje,IPL,58,561,8,15
Mayank Markande,IPL,73,648,18,19
Jasprit Bumrah,IPL,286,2758,93,80
Ryan Rickelton,IPL,0,0,0,157
Virat Singh,IPL,0,0,0,197
Washington Sundar,IPL,464,4560,113,195
KL Rahul,IPL,1,12,0,207
Kumar Kushagra,IPL,0,0,0,79
Hardik Pandya,IPL,385,3916,77,144
Dewald Brevis,IPL,13,140,5,86
Arjun Tendulkar,IPL,155,1275,49,43
Kuldeep Yadav,IPL,698,6353,282,210
Trent Boult,IPL,4,36,1,1
Eshan Malinga,IPL,65,659,21,23
Sam Curran,IPL,407,4503,74,188
Virat Kohli,IPL,2,28,1,160
Tim Seifert,IPL,0,0,0,48
Shreyas Iyer,IPL,0,0,0,133
Ajinkya Rahane,IPL,0,0,0,67
Karan Lal,IPL,87,903,18,97
Glenn Phillips,IPL,116,1206,19,93
Dian Forrester,IPL,332,3046,85,100
Jitesh Sharma,IPL,0,0,0,37
Vipraj Nigam,IPL,115,1125,21,35
