name,format,runs,balls,matches,innings
Tilak Varma,IPL,5126,3256,213,122
Shivam Mavi,IPL,113,92,39,16
Shiran Fernando,IPL,279,258,216,31
Suyash Sharma,IPL,27,28,21,5
Blessing Muzarbani,IPL,5,9,12,4
Arshdeep Singh,IPL,193,174,142,37
Abhishek Sharma,IPL,10703,6458,296,253
Pathum Nissanka,IPL,5288,3639,140,120
Urvil Patel,IPL,2536,1506,158,110
Cameron Green,IPL,1212,801,77,51
Lalit Yadav,IPL,8347,5028,322,166
Rinku Singh,IPL,1635,1064,111,60
Krunal Pandya,IPL,1598,1065,137,66
Bjorn Fortuin,IPL,0,2,2,1
Kagiso Rabada,IPL,200,160,131,23
Mohammed Siraj,IPL,221,223,254,30
Ishant Sharma,IPL,42,50,58,8
Mitchell Marsh,IPL,2742,1861,117,90
Venkatesh Iyer,IPL,5170,3565,136,121
Karun Nair,IPL,1258,827,82,56
Kartik Sharma,IPL,2972,1959,108,64
Tristan Stubbs,IPL,2417,1567,97,67
Salil Arora,IPL,1757,1080,126,68
Axar Patel,IPL,820,596,122,45
Sunil Narine,IPL,515,375,111,50
Rashid Khan,IPL,201,151,129,26
Sai Kishore,IPL,68,60,41,9
Mohammed Shami,IPL,93,106,131,21
Ryan Rickelton,IPL,4853,2865,172,162
Virat Singh,IPL,7874,5021,223,170
Washington Sundar,IPL,3146,2131,217,134
KL Rahul,IPL,8272,5066,234,189
Kumar Kushagra,IPL,1889,1225,82,67
Hardik Pandya,IPL,1590,1018,171,79
Dewald Brevis,IPL,1563,941,86,68
Arjun Tendulkar,IPL,121,110,43,19
Kuldeep Yadav,IPL,391,421,223,44
Trent Boult,IPL,0,0,1,0
Eshan Malinga,IPL,62,57,23,6
Jordan Cox,IPL,1815,1333,76,66
Smaran Ravichandra,IPL,5538,3693,121,97
Brian Bennett,IPL,2547,1647,67,45
Dhruv Jurel,IPL,1462,919,89,47
Sarfaraz Khan,IPL,2522,1527,122,96
Kranthi Kumar,IPL,1324,818,142,67
Kangabam Priyojit Singh,IPL,4791,2769,169,118
Shardul Thakur,IPL,42,31,16,6
Anrich Nortje,IPL,58,51,15,5
Mayank Markande,IPL,35,23,19,5
Jasprit Bumrah,IPL,57,60,104,10
Virat Kohli,IPL,8178,5131,187,136
Tim Seifert,IPL,1664,1083,58,55
Shreyas Iyer,IPL,5060,3079,161,118
Ajinkya Rahane,IPL,1363,836,67,50
Karan Lal,IPL,1501,978,123,77
Glenn Phillips,IPL,3521,2341,121,83
Dian Forrester,IPL,1627,1083,124,55
Jitesh Sharma,IPL,669,440,58,27
Vipraj Nigam,IPL,190,151,35,14
Josh Hazlewood,IPL,142,148,93,23
Jaydev Unadkat,IPL,34,40,29,9
Sam Curran,IPL,2392,1508,207,65
Sandeep Sharma,IPL,0,2,5,2
Vaibhav Suryavanshi,IPL,6536,3840,180,160
Yashasvi Jaiswal,IPL,5095,3384,155,132
Sai Sudharsan,IPL,6292,4042,179,153
Yashvardhan Dalal,IPL,3555,2202,136,86
Nitish Rana,IPL,1553,966,93,53
Riyan Parag,IPL,3108,2148,158,94
Will Jacks,IPL,1555,1001,151,49
Yuzvendra Chahal,IPL,7,6,21,2
Ottneil Baartman,IPL,5,7,21,2
Lockie Ferguson,IPL,47,40,30,4
Harpreet Brar,IPL,164,145,118,19
Rohit Sharma,IPL,2607,1716,146,87
Manish Pandey,IPL,988,701,53,39
Jos Buttler,IPL,2227,1442,92,78
Kunal Chandela,IPL,2058,1232,74,49
Ramandeep Singh,IPL,629,383,76,42
Ravindra Jadeja,IPL,2039,1378,147,69
Sam Hain,IPL,1968,1233,68,55
Scott Curie,IPL,64,60,73,16
CV Stephen,IPL,70,74,93,11
Bhuvneshwar Kumar,IPL,209,182,141,28
Ravi Teja,IPL,15,17,17,5
Finn Allen,IPL,3866,2369,111,98
Josh Inglis,IPL,163,123,12,12
Rajat Patidar,IPL,3846,2607,201,143
Rishabh Pant,IPL,4110,2638,173,130
Devdutt Padikkal,IPL,2497,1607,97,83
Rachin Ravindra,IPL,500,352,58,27
Anukul Roy,IPL,909,557,78,39
Marco Jansen,IPL,2,6,2,0
Arzan Nagwaswalla,IPL,188,169,264,19
Varun Chakravarthy,IPL,201,186,138,27
Prasidh Krishna,IPL,53,44,25,10
Akash Vasisht,IPL,644,393,81,31
Tharindu Rathnanayake,IPL,166,111,27,8
Mitchell Santner,IPL,102,63,8,4
Prithvi Shaw,IPL,1103,676,43,41
Rovman Powell,IPL,21,12,3,2
Sikandar Raza,IPL,287,205,28,12
Umran Malik,IPL,17,29,26,6
Heinrich Klaasen,IPL,2965,2012,163,95
Mohsin Khan,IPL,63,64,47,11
Aiden Markram,IPL,818,538,29,25
Tanay Thyagarajan,IPL,112,102,61,21
Jason Holder,IPL,596,424,73,24
Sakib Hussain,IPL,80,81,42,16
Praveen Jayawickrama,IPL,115,107,140,17
Travis Head,IPL,280,232,16,14
Harshit Rana,IPL,43,39,16,4
Dushmantha Chameera,IPL,5,4,9,1
Pat Cummins,IPL,166,144,76,27
Tim David,IPL,188,129,22,9
Angkrish Raghuvanshi,IPL,151,98,9,8
Liam Livingstone,IPL,1139,759,43,31
Ravi Bishnoi,IPL,75,74,96,17
Yash Thakur,IPL,15,12,28,3
Sameer Rizvi,IPL,235,178,16,9
Khaleel Ahmed,IPL,98,73,43,10
Kamindu Mendis,IPL,253,211,45,14
Noor Ahmad,IPL,79,59,57,13
Avesh Khan,IPL,8,20,16,4
Mukesh Kumar,IPL,0,0,2,0
Himmat Singh,IPL,954,621,40,31
Cooper Connolly,IPL,78,86,18,7
Nicholas Pooran,IPL,432,289,28,20
Nick Kelly,IPL,302,241,10,10
Amila Aponso,IPL,86,72,51,12
Rohan Kunnummal,IPL,610,442,30,26
Nathan Ellis,IPL,165,152,100,25
Avinov Choudhary,IPL,78,74,32,13
Priyansh Arya,IPL,1813,1154,80,68
Sherfane Rutherford,IPL,400,296,21,14
Xavier Bartlett,IPL,0,0,1,0
Naman Dhir,IPL,626,479,35,25
Shreyas Gopal,IPL,0,0,1,0
Jofra Archer,IPL,109,87,20,12
Luhan dre pretorious,IPL,1676,1151,72,67
Aman Rao,IPL,223,169,13,11
Deepak Chahar,IPL,79,51,31,5
Yuvraj Chaudhary,IPL,923,594,42,30
Mayank Yadav,IPL,68,60,46,4
Harshal Patel,IPL,46,62,38,12
MS Dhoni,IPL,30,19,1,1
Lungi Ngidi,IPL,83,79,78,16
Mitchell Owen,IPL,19,20,6,3
Prabhsimran Singh,IPL,3048,1877,109,99
Adil Rashid,IPL,20,20,17,8
Matt Henry,IPL,4,9,17,5
Jacob Bethell,IPL,2156,1295,94,89
Jamie Overton,IPL,96,59,27,7
Ajay Mandal,IPL,16,12,2,2
Rahul Chahar,IPL,11,9,11,1
Akash Deep,IPL,16,12,7,3
Allah Ghazanfar,IPL,23,16,31,1
Ankit Kumar,IPL,2660,1592,85,65
Vignesh Puthur,IPL,0,2,5,2
Ashok Sharma,IPL,658,507,207,61
Ashutosh Sharma,IPL,406,262,33,17
Akeal Hosein,IPL,521,481,151,60
Corbin Bosch,IPL,360,249,45,23
Ravi Singh,IPL,389,265,15,13
Mukhtar Hussain,IPL,42,32,39,7
Vishnu Vinod,IPL,76,55,7,3
Auqib Nabi,IPL,0,0,3,0
Rasikh Dar,IPL,54,38,40,5
Manisankar Murasingh,IPL,588,369,66,30
Harnoor Singh,IPL,630,462,21,19
KM Asif,IPL,35,33,33,5
Marcus Stoinis,IPL,569,386,35,22
Chama Milind,IPL,21,16,3,1
Anshul Kamboj,IPL,37,36,37,6
Harsh Dubey,IPL,419,413,97,48
Jacob Duffy,IPL,46,38,38,5
Delano Potgieter,IPL,308,170,20,13
Atit Sheth,IPL,583,428,71,24
Sahan Arachchige,IPL,806,633,182,57
Dushan Hemantha,IPL,168,150,137,24
James Rew,IPL,1406,847,85,44
Donovan Ferreira,IPL,158,123,16,9
Wanindu Hasaranga,IPL,449,384,95,26
Malinda Pushpakumara,IPL,184,158,156,17
Gurinder Singh,IPL,605,526,187,52
Darshan Nalkande,IPL,4,8,8,2
KS Bharat,IPL,256,194,10,10
Quinton de Kock,IPL,1523,1002,59,56
Nitish Kumar Reddy,IPL,843,498,79,36
Deepak Hooda,IPL,1112,786,56,38
Dinuka Dilshan,IPL,80,65,12,4
Brad Evans,IPL,45,35,11,5
Prabath Jayasuriya,IPL,88,82,72,12
Suryansh Shedge,T20,58,38,4,2
Mridul Surroch,IPL,1415,851,93,54
Nishan Peiris,IPL,75,71,46,11
Bevon Jacobs,IPL,1105,753,57,31
Sairaj Patil,IPL,952,528,83,34
Harry Brook,IPL,2198,1431,104,80
Ruchit Ahir,IPL,3583,2158,137,105
Sanvir Singh,IPL,599,348,52,25
Shivam Shukla,IPL,13,12,12,2
Chetan Sakariya,IPL,17,15,28,1
Suryansh Shedge,IPL,680,494,71,54
Harry Brook,T20,476,327,28,23
Sanvir Singh,T20,54,31,5,2
Ruchit Ahir,T20,207,123,9,5
Chetan Sakariya,T20,0,0,3,0
Shivang Kumar,IPL,38,37,5,5
Vishen Halambage,T20,450,228,14,10
Codanda Ajit Karthik,IPL,106,64,10,6
Carlos Brathwaite,IPL,0,0,1,0
Vishen Halambage,IPL,2060,1291,135,71
Sandeep Warrier,IPL,6,4,3,1
Umesh Yadav,IPL,1,4,3,1
Shashank Singh,IPL,33,22,6,4
Ben Stokes,IPL,319,285,43,25
Phil Salt,IPL,677,440,22,21
Manav Suthar,IPL,10,14,25,2
Sdnv Prasad,IPL,2128,1327,106,52
Gurnoor Singh Brar,IPL,27,29,14,8
KS Bharat,T20,45,49,2,1
Shivang Kumar,T20,0,0,2,0
Prince Yadav,IPL,67,63,70,8
Gus Atkinson,IPL,68,79,52,16
Krishnappa Gowtham,IPL,33,29,12,4
Nandre Burger,IPL,0,0,2,0
David Warner,IPL,2021,1482,66,59
Kishan Lyngdoh,IPL,1514,1022,50,36
Binura Fernando,IPL,95,72,24,2
James Rew,T20,101,76,9,5
Malinda Pushpakumara,T20,10,14,11,1
David Miller,IPL,1471,934,91,57
Dunith Wellalage,IPL,38,35,11,4
Gurinder Singh,T20,7,15,9,6
Prabath Jayasuriya,T20,11,21,8,4
Krishnappa Gowtham,T20,1,4,2,1
Nishant Sindhu,IPL,364,266,28,19
Shubham Dubey,IPL,385,272,14,12
Matt Short,IPL,1435,979,51,49
Arpit Vasavada,IPL,413,243,47,25
Murvin Abinash,IPL,3,2,2,0
Aneurin Donald,IPL,2130,1214,80,63
Seekkuge Prasanna,IPL,267,141,35,11
Steve Smith,IPL,1061,753,29,22
Jacques Snyman,IPL,16,22,5,3
Matt Renshaw,IPL,178,95,6,5
Joel Davies,IPL,2170,1322,96,92
Lone Nasir Muzaffar,IPL,12,9,7,0
