batter,bowler,balls,runs,wickets,dots,fours,sixes,dot_pct,strike_rate,average
Aneurin Donald,Lalit Yadav,11,23,0,1,3,0,9.09,209.09,23.0
Aneurin Donald,Lungi Ngidi,8,21,0,1,1,2,12.5,262.5,21.0
Aneurin Donald,Maheesh Theekshana,1,1,0,0,0,0,0.0,100.0,1.0
Aneurin Donald,Malinda Pushpakumara,38,65,2,11,7,2,28.95,171.05,32.5
Aneurin Donald,Manav Suthar,16,28,0,1,1,1,6.25,175.0,28.0
Aneurin Donald,Matheesha Pathirana,6,10,0,0,1,0,0.0,166.67,10.0
Aneurin Donald,Matt Short,2,4,0,1,1,0,50.0,200.0,4.0
Aneurin Donald,Mitchell Marsh,9,15,0,1,0,1,11.11,166.67,15.0
Aneurin Donald,Mitchell Starc,11,9,1,3,0,0,27.27,81.82,9.0
Aneurin Donald,Mohamed Shiraz,12,21,0,1,3,0,8.33,175.0,21.0
Aneurin Donald,Mohammed Shami,55,109,7,13,14,4,23.64,198.18,15.57
Aneurin Donald,Mohammed Siraj,29,61,2,3,4,4,10.34,210.34,30.5
Aneurin Donald,Mohsin Khan,23,45,4,5,3,3,21.74,195.65,11.25
Aneurin Donald,Mridul Surroch,19,28,1,2,2,0,10.53,147.37,28.0
Aneurin Donald,Mukhtar Hussain,2,2,0,0,0,0,0.0,100.0,2.0
Aneurin Donald,Murvin Abinash,15,16,0,5,2,0,33.33,106.67,16.0
Aneurin Donald,Nimesh Vimukthi,7,6,0,2,0,0,28.57,85.71,6.0
Aneurin Donald,Nishan Peiris,8,8,0,1,0,0,12.5,100.0,8.0
Aneurin Donald,Nishant Sindhu,3,4,0,0,0,0,0.0,133.33,4.0
Aneurin Donald,Nitish Kumar Reddy,6,8,0,1,0,0,16.67,133.33,8.0
Aneurin Donald,Pat Cummins,17,30,1,2,1,2,11.76,176.47,30.0
Aneurin Donald,Prabath Jayasuriya,4,8,0,0,1,0,0.0,200.0,8.0
Aneurin Donald,Prashant Veer,14,19,0,2,2,0,14.29,135.71,19.0
Aneurin Donald,Praveen Jayawickrama,28,42,2,7,2,2,25.0,150.0,21.0
Aneurin Donald,Prince Yadav,42,72,1,6,3,3,14.29,171.43,72.0
Aneurin Donald,Rachin Ravindra,10,15,0,1,1,0,10.0,150.0,15.0
Aneurin Donald,Rahul Chahar,20,32,0,7,3,1,35.0,160.0,32.0
Aneurin Donald,Raj Angad Bawa,2,2,0,0,0,0,0.0,100.0,2.0
Aneurin Donald,Raj Limbani,2,7,0,0,0,1,0.0,350.0,7.0
Aneurin Donald,Rashid Khan,27,47,0,2,4,1,7.41,174.07,47.0
Aneurin Donald,Rasikh Dar,7,8,0,1,0,0,14.29,114.29,8.0
Aneurin Donald,Ravi Bishnoi,15,32,0,1,0,3,6.67,213.33,32.0
Aneurin Donald,Ravindra Jadeja,13,21,2,4,1,1,30.77,161.54,10.5
Aneurin Donald,Riyan Parag,12,17,0,2,1,0,16.67,141.67,17.0
Aneurin Donald,Sahan Arachchige,21,54,0,1,1,6,4.76,257.14,54.0
Aneurin Donald,Sam Curran,26,47,1,4,5,2,15.38,180.77,47.0
Aneurin Donald,Samant Jakhar,6,17,0,2,1,2,33.33,283.33,17.0
Aneurin Donald,Saransh Jain,12,22,1,2,3,0,16.67,183.33,22.0
Aneurin Donald,Sayan Ghosh,4,4,0,0,0,0,0.0,100.0,4.0
Aneurin Donald,Scott Curie,24,42,2,5,3,1,20.83,175.0,21.0
Aneurin Donald,Seekkuge Prasanna,7,23,0,0,0,3,0.0,328.57,23.0
Aneurin Donald,Shahbaz Ahmed,7,12,0,0,1,0,0.0,171.43,12.0
Aneurin Donald,Shardul Thakur,18,55,0,3,7,3,16.67,305.56,55.0
Aneurin Donald,Shiran Fernando,44,108,3,5,8,7,11.36,245.45,36.0
Aneurin Donald,Shivam Dube,54,97,5,12,7,5,22.22,179.63,19.4
Aneurin Donald,Shubham Agarwal,28,33,3,12,1,2,42.86,117.86,11.0
Aneurin Donald,Sonal Dinusha,6,16,0,2,1,1,33.33,266.67,16.0
Aneurin Donald,Sonny Baker,23,34,2,5,1,2,21.74,147.83,17.0
Aneurin Donald,Sunil Narine,22,42,0,2,2,3,9.09,190.91,42.0
Aneurin Donald,Tanay Thyagarajan,5,10,0,0,1,0,0.0,200.0,10.0
Aneurin Donald,Tilak Varma,5,8,0,1,1,0,20.0,160.0,8.0
Aneurin Donald,Vaisakh Chandran,27,62,0,1,4,4,3.7,229.63,62.0
Aneurin Donald,Varun Chakravarthy,6,18,0,0,2,1,0.0,300.0,18.0
Aneurin Donald,Vidwath Kaverappa,3,4,0,0,0,0,0.0,133.33,4.0
Aneurin Donald,Vishen Halambage,28,56,1,7,4,4,25.0,200.0,56.0
Aneurin Donald,Wanindu Hasaranga,8,9,1,3,1,0,37.5,112.5,9.0
Aneurin Donald,Washington Sundar,27,58,0,1,6,2,3.7,214.81,58.0
Aneurin Donald,Will Jacks,34,66,2,4,2,4,11.76,194.12,33.0
Aneurin Donald,Yash Thakur,24,29,2,5,1,1,20.83,120.83,14.5
Aneurin Donald,Yuvraj Chaudhary,6,16,0,1,1,1,16.67,266.67,16.0
Aneurin Donald,Yuzvendra Chahal,1,1,0,0,0,0,0.0,100.0,1.0
Angkrish Raghuvanshi,Adam Zampa,1,0,1,1,0,0,100.0,0.0,0.0
Angkrish Raghuvanshi,Akeal Hosein,11,17,0,2,0,1,18.18,154.55,17.0
